ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa05221,Acute myeloid leukemia,11/169,66/7431,2.210902510542592e-7,1.519995475998032e-6,5.381802163820783e-7,11,kg,PCR,83439/3551/51176/5595/6654/595/4893/5291/6774/1848/3815,TCF7L1/IKBKB/LEF1/MAPK3/SOS1/CCND1/NRAS/PIK3CB/STAT3/DUSP6/KIT
hsa04068,FoxO signaling pathway,15/169,132/7431,2.586537078938621e-7,1.7243580526257475e-6,6.105382578674895e-7,15,kg,PCR,3480/6502/3551/1956/3667/5595/6654/595/1027/4893/5563/4088/5291/6774/6794,IGF1R/SKP2/IKBKB/EGFR/IRS1/MAPK3/SOS1/CCND1/CDKN1B/NRAS/PRKAA2/SMAD3/PIK3CB/STAT3/STK11
hsa05213,Endometrial cancer,10/169,58/7431,5.76905777673109e-7,3.7329197378848227e-6,1.3217036392510855e-6,10,kg,PCR,2064/83439/1956/51176/5595/6654/595/1643/4893/5291,ERBB2/TCF7L1/EGFR/LEF1/MAPK3/SOS1/CCND1/DDB2/NRAS/PIK3CB
hsa04015,Rap1 signaling pathway,18/169,206/7431,8.60740588824252e-7,5.410369415466727e-6,1.9156331901652526e-6,18,kg,PCR,3480/1956/4233/1946/5595/4254/3082/80310/1944/2778/5881/7422/5332/4893/1969/2261/5291/3815,IGF1R/EGFR/MET/EFNA5/MAPK3/KITLG/HGF/PDGFD/EFNA3/GNAS/RAC3/VEGFA/PLCB4/NRAS/EPHA2/FGFR3/PIK3CB/KIT
hsa04072,Phospholipase D signaling pathway,15/169,146/7431,9.659814122158279e-7,5.743673261823841e-6,2.0336450783491116e-6,15,kg,PCR,1956/5595/6654/4254/3576/22800/80310/5336/2778/5337/5332/4893/6850/5291/3815,EGFR/MAPK3/SOS1/KITLG/CXCL8/RRAS2/PDGFD/PLCG2/GNAS/PLD1/PLCB4/NRAS/SYK/PIK3CB/KIT
hsa05202,Transcriptional misregulation in cancer,17/169,186/7431,9.415862519797159e-7,5.743673261823841e-6,2.0336450783491116e-6,17,kg,PCR,3480/8842/4233/3087/25942/3066/5087/3576/1643/7113/1027/2530/6929/8358/1848/7102/9915,IGF1R/PROM1/MET/HHEX/SIN3A/HDAC2/PBX1/CXCL8/DDB2/TMPRSS2/CDKN1B/FUT8/TCF3/HIST1H3B/DUSP6/TSPAN7/ARNT2
hsa03030,DNA replication,8/169,36/7431,1.0663021093677751e-6,6.173328001602909e-6,2.1857716369311733e-6,8,kg,PCR,5983/4176/4171/4174/4173/2237/57804/5424,RFC3/MCM7/MCM2/MCM5/MCM4/FEN1/POLD4/POLD1
hsa05230,Central carbon metabolism in cancer,10/169,65/7431,1.7253126960819133e-6,9.732533157385153e-6,3.4459686777344554e-6,10,kg,PCR,2064/1956/4233/5979/5595/4893/3417/2261/5291/3815,ERBB2/EGFR/MET/RET/MAPK3/NRAS/IDH1/FGFR3/PIK3CB/KIT
hsa04350,TGF-beta signaling pathway,11/169,84/7431,2.6830969339712694e-6,1.4757033136841982e-5,5.224978239838787e-6,11,kg,PCR,658/3400/8454/6500/5595/91/7124/7027/4052/4088/654,BMPR1B/ID4/CUL1/SKP1/MAPK3/ACVR1B/TNF/TFDP1/LTBP1/SMAD3/BMP6
hsa04662,B cell receptor signaling pathway,10/169,71/7431,3.956360657557584e-6,2.1229252308845572e-5,7.5165773725099145e-6,10,kg,PCR,3551/5534/5595/6654/5336/5881/5532/4893/6850/5291,IKBKB/PPP3R1/MAPK3/SOS1/PLCG2/RAC3/PPP3CB/NRAS/SYK/PIK3CB
hsa05167,Kaposi's sarcoma-associated herpesvirus infection,16/169,186/7431,4.442039241740785e-6,2.3267824599594586e-5,8.238368518516743e-6,16,kg,PCR,3551/1021/5534/5595/595/3576/637/5336/5532/7422/4893/1019/6850/1869/5291/6774,IKBKB/CDK6/PPP3R1/MAPK3/CCND1/CXCL8/BID/PLCG2/PPP3CB/VEGFA/NRAS/CDK4/SYK/E2F1/PIK3CB/STAT3
hsa04370,VEGF signaling pathway,9/169,59/7431,6.226386370191293e-6,3.185593026609499e-5,1.1279133204263297e-5,9,kg,PCR,5534/5595/5336/5881/5532/7422/4893/3315/5291,PPP3R1/MAPK3/PLCG2/RAC3/PPP3CB/VEGFA/NRAS/HSPB1/PIK3CB
hsa04930,Type II diabetes mellitus,8/169,46/7431,7.574878484960512e-6,3.787439242480256e-5,1.3410071959021002e-5,8,kg,PCR,776/3551/3667/5595/7124/8835/8651/5291,CACNA1D/IKBKB/IRS1/MAPK3/TNF/SOCS2/SOCS1/PIK3CB
hsa04550,Signaling pathways regulating pluripotency of stem cells,13/169,139/7431,1.4844767668310488e-5,7.257441971174018e-5,2.5696206022338623e-5,13,kg,PCR,658/3480/3400/5595/91/7473/4893/6929/4088/2261/5291/6774/2535,BMPR1B/IGF1R/ID4/MAPK3/ACVR1B/WNT3/NRAS/TCF3/SMAD3/FGFR3/PIK3CB/STAT3/FZD2
hsa04916,Melanogenesis,11/169,101/7431,1.6437253289696304e-5,7.6940334547514615e-05,2.724203232782814e-5,11,kg,PCR,83439/51176/5595/4254/2778/5567/7473/5332/4893/3815/2535,TCF7L1/LEF1/MAPK3/KITLG/GNAS/PRKACB/WNT3/PLCB4/NRAS/KIT/FZD2
hsa05216,Thyroid cancer,7/169,37/7431,1.609337288585005e-5,7.6940334547514615e-05,2.724203232782814e-5,7,kg,PCR,83439/51176/5979/5595/595/1643/4893,TCF7L1/LEF1/RET/MAPK3/CCND1/DDB2/NRAS
hsa04917,Prolactin signaling pathway,9/169,70/7431,2.6007458583693534e-5,1.1920085184192868e-4,4.220508629809916e-5,9,kg,PCR,5595/6654/595/5618/8835/4893/8651/5291/6774,MAPK3/SOS1/CCND1/PRLR/SOCS2/NRAS/SOCS1/PIK3CB/STAT3
hsa04520,Adherens junction,9/169,72/7431,3.273743953259872e-5,1.4698442239125954e-4,5.204233137298186e-5,9,kg,PCR,2064/3480/83439/1956/4233/51176/5595/5881/4088,ERBB2/IGF1R/TCF7L1/EGFR/MET/LEF1/MAPK3/RAC3/SMAD3
hsa01524,Platinum drug resistance,9/169,73/7431,3.662126238046183e-5,1.579740730137569e-4,5.593340384219143e-5,9,kg,PCR,2064/596/5595/4436/637/1029/7507/2956/5291,ERBB2/BCL2/MAPK3/MSH2/BID/CDKN2A/XPA/MSH6/PIK3CB
hsa04150,mTOR signaling pathway,13/169,151/7431,3.604415943383314e-5,1.579740730137569e-4,5.593340384219143e-5,13,kg,PCR,3480/6502/3551/3667/5595/6654/7124/7473/4893/5563/5291/6794/2535,IGF1R/SKP2/IKBKB/IRS1/MAPK3/SOS1/TNF/WNT3/NRAS/PRKAA2/PIK3CB/STK11/FZD2
hsa04360,Axon guidance,14/169,175/7431,4.084050072183323e-5,1.7278673382314057e-4,6.117807800436556e-5,14,kg,PCR,658/4233/1946/5534/5595/6608/5336/5727/1944/5881/5532/4893/1969/5291,BMPR1B/MET/EFNA5/PPP3R1/MAPK3/SMO/PLCG2/PTCH1/EFNA3/RAC3/PPP3CB/NRAS/EPHA2/PIK3CB
hsa04912,GnRH signaling pathway,10/169,93/7431,4.4998898485759356e-5,1.8678788050692562e-4,6.613542180627988e-5,10,kg,PCR,776/1956/5595/6654/4214/2778/5337/5567/5332/4893,CACNA1D/EGFR/MAPK3/SOS1/MAP3K1/GNAS/PLD1/PRKACB/PLCB4/NRAS
hsa05145,Toxoplasmosis,11/169,113/7431,4.7500211671843515e-5,1.935193808852884e-4,6.851882385412125e-5,11,kg,PCR,596/3551/5595/7124/3655/8651/3918/3306/3911/6774/4615,BCL2/IKBKB/MAPK3/TNF/ITGA6/SOCS1/LAMC2/HSPA2/LAMA5/STAT3/MYD88
hsa05169,Epstein-Barr virus infection,15/169,201/7431,4.8571788279248286e-5,1.9428715311699314e-4,6.879066665386359e-5,15,kg,PCR,596/6502/3551/3066/890/5336/5433/1027/5567/7128/6850/3315/3306/5291/6774,BCL2/SKP2/IKBKB/HDAC2/CCNA2/PLCG2/POLR2D/CDKN1B/PRKACB/TNFAIP3/SYK/HSPB1/HSPA2/PIK3CB/STAT3
hsa04919,Thyroid hormone signaling pathway,11/169,116/7431,6.05508241958663e-5,2.3787823791233189e-4,8.422483064838544e-5,11,kg,PCR,4851/25942/3066/5595/595/5336/5567/5332/4893/4853/5291,NOTCH1/SIN3A/HDAC2/MAPK3/CCND1/PLCG2/PRKACB/PLCB4/NRAS/NOTCH2/PIK3CB
hsa04213,Longevity regulating pathway - multiple species,8/169,62/7431,7.203419969811317e-5,2.78026735676928e-4,9.844008823010848e-5,8,kg,PCR,3480/3667/3066/5567/4893/5563/3306/5291,IGF1R/IRS1/HDAC2/PRKACB/NRAS/PRKAA2/HSPA2/PIK3CB
hsa04340,Hedgehog signaling pathway,7/169,47/7431,8.118645275577195e-5,3.0272914586898015e-4,1.0718639614499776e-4,7,kg,PCR,596/8454/595/6608/5727/5567/2737,BCL2/CUL1/CCND1/SMO/PTCH1/PRKACB/GLI3
hsa05217,Basal cell carcinoma,8/169,63/7431,8.09340418043965e-5,3.0272914586898015e-4,1.0718639614499776e-4,8,kg,PCR,83439/51176/6608/1643/5727/7473/2737/2535,TCF7L1/LEF1/SMO/DDB2/PTCH1/WNT3/GLI3/FZD2
hsa04066,HIF-1 signaling pathway,10/169,100/7431,8.407770568399963e-5,3.0828492084133193e-4,1.0915351264238547e-4,10,kg,PCR,2064/596/3480/1956/5595/5336/1027/7422/5291/6774,ERBB2/BCL2/IGF1R/EGFR/MAPK3/PLCG2/CDKN1B/VEGFA/PIK3CB/STAT3
hsa04330,Notch signaling pathway,7/169,48/7431,9.324831638717969e-5,3.363054033635989e-4,1.1907464042538908e-4,7,kg,PCR,84441/196403/83464/4851/3066/23220/4853,MAML2/DTX3/APH1B/NOTCH1/HDAC2/DTX4/NOTCH2
hsa04625,C-type lectin receptor signaling pathway,10/169,104/7431,1.1724187590972093e-4,4.160195596796549e-4,1.4729879146552376e-4,10,kg,PCR,3551/5534/5595/22800/5336/7124/5532/4893/6850/5291,IKBKB/PPP3R1/MAPK3/RRAS2/PLCG2/TNF/PPP3CB/NRAS/SYK/PIK3CB
hsa03430,Mismatch repair,5/169,23/7431,1.384063520766786e-4,4.8216653623725086e-4,1.7071925206486394e-4,5,kg,PCR,5983/4436/2956/57804/5424,RFC3/MSH2/MSH6/POLD4/POLD1
hsa04664,Fc epsilon RI signaling pathway,8/169,68/7431,1.4026662872356388e-4,4.8216653623725086e-4,1.7071925206486394e-4,8,kg,PCR,5595/6654/5336/7124/5881/4893/6850/5291,MAPK3/SOS1/PLCG2/TNF/RAC3/NRAS/SYK/PIK3CB
hsa05211,Renal cell carcinoma,8/169,69/7431,1.556315212730078e-4,5.267528412317186e-4,1.8650579067534538e-4,8,kg,PCR,4233/5595/6654/3082/7422/4893/5291/9915,MET/MAPK3/SOS1/HGF/VEGFA/NRAS/PIK3CB/ARNT2
hsa04921,Oxytocin signaling pathway,12/169,152/7431,1.6677819153012297e-4,5.559273051004099e-4,1.9683550515516907e-4,12,kg,PCR,776/1956/5534/5595/595/2778/5567/5532/5332/4893/5563/781,CACNA1D/EGFR/PPP3R1/MAPK3/CCND1/GNAS/PRKACB/PPP3CB/PLCB4/NRAS/PRKAA2/CACNA2D1
hsa04926,Relaxin signaling pathway,11/169,130/7431,1.7010055634537614e-4,5.585391402385486e-4,1.977602697495339e-4,11,kg,PCR,1956/5595/6654/2778/5567/7422/5332/4893/9586/4088/5291,EGFR/MAPK3/SOS1/GNAS/PRKACB/VEGFA/PLCB4/NRAS/CREB5/SMAD3/PIK3CB
hsa04650,Natural killer cell mediated cytotoxicity,11/169,131/7431,1.820876706212824e-4,5.891071696570901e-4,2.0858339978289316e-4,11,kg,PCR,5534/5595/6654/637/5336/7124/5881/5532/4893/6850/5291,PPP3R1/MAPK3/SOS1/BID/PLCG2/TNF/RAC3/PPP3CB/NRAS/SYK/PIK3CB
hsa05162,Measles,11/169,132/7431,1.9478456645595393e-4,6.21052240874056e-4,2.1989409485492892e-4,11,kg,PCR,898/1021/595/3559/1027/7128/1019/3306/5291/6774/4615,CCNE1/CDK6/CCND1/IL2RA/CDKN1B/TNFAIP3/CDK4/HSPA2/PIK3CB/STAT3/MYD88
hsa03460,Fanconi anemia pathway,7/169,54/7431,2.000116150385834e-4,6.286079329784049e-4,2.2256931598278452e-4,7,kg,PCR,675/2175/2187/2178/2176/83990/545,BRCA2/FANCA/FANCB/FANCE/FANCC/BRIP1/ATR
hsa04658,Th1 and Th2 cell differentiation,9/169,92/7431,2.2650435843751384e-4,7.018444909331414e-4,2.484999632969017e-4,9,kg,PCR,2625/84441/3551/4851/5534/5595/3559/5532/4853,GATA3/MAML2/IKBKB/NOTCH1/PPP3R1/MAPK3/IL2RA/PPP3CB/NOTCH2
