ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,Count,ont,comparison,geneID,symbol
hsa04020,Calcium signaling pathway,2/14,182/7431,0.04475245040890948,0.1105111530505724,0.06729691790813457,2,kg,PCR,776/8912,CACNA1D/CACNA1H
hsa05202,Transcriptional misregulation in cancer,2/14,186/7431,0.046547205277044486,0.11264423677044766,0.06859588146090767,2,kg,PCR,3480/3087,IGF1R/HHEX
hsa04950,Maturity onset diabetes of the young,1/14,26/7431,0.0479263940816862,0.11370771929184373,0.06924350022121845,1,kg,PCR,3087,HHEX
hsa05205,Proteoglycans in cancer,2/14,201/7431,0.05351444104539397,0.12452398781716674,0.07583017961897931,2,kg,PCR,3480/595,IGF1R/CCND1
hsa04215,Apoptosis - multiple species,1/14,33/7431,0.06046023225416308,0.13803185099535345,0.08405593362048494,1,kg,PCR,596,BCL2
hsa04960,Aldosterone-regulated sodium reabsorption,1/14,37/7431,0.06755345679300684,0.15136978281395977,0.09217820615030173,1,kg,PCR,3667,IRS1
hsa05219,Bladder cancer,1/14,41/7431,0.07459692802225404,0.1641132416489589,0.09993846816378532,1,kg,PCR,595,CCND1
hsa04973,Carbohydrate digestion and absorption,1/14,44/7431,0.07984707479597941,0.1725267151841698,0.10506194052102555,1,kg,PCR,776,CACNA1D
hsa05166,HTLV-I infection,2/14,255/7431,0.0813939142346008,0.1727835723225736,0.10521835635128451,2,kg,PCR,4602/595,MYB/CCND1
hsa04913,Ovarian steroidogenesis,1/14,49/7431,0.08853589787367167,0.18157362106295374,0.11057114810271217,1,kg,PCR,3480,IGF1R
hsa05144,Malaria,1/14,49/7431,0.08853589787367167,0.18157362106295374,0.11057114810271217,1,kg,PCR,7060,THBS4
hsa05014,Amyotrophic lateral sclerosis (ALS),1/14,51/7431,0.09199004580971915,0.18551325904960028,0.11297023169614633,1,kg,PCR,596,BCL2
hsa04923,Regulation of lipolysis in adipocytes,1/14,54/7431,0.09714848313024271,0.1927043681763831,0.11734933251280397,1,kg,PCR,3667,IRS1
hsa04060,Cytokine-cytokine receptor interaction,2/14,294/7431,0.10384910704187117,0.20267325729139374,0.12341999139101838,2,kg,PCR,658/53832,BMPR1B/IL20RA
hsa05416,Viral myocarditis,1/14,59/7431,0.10568544845595362,0.20298316290746649,0.12360871164439022,1,kg,PCR,595,CCND1
hsa04730,Long-term depression,1/14,60/7431,0.10738382117999279,0.20302253691842387,0.12363268885854434,1,kg,PCR,3480,IGF1R
hsa04924,Renin secretion,1/14,65/7431,0.11583085173815832,0.20585245316770004,0.12535599583939977,1,kg,PCR,776,CACNA1D
hsa05165,Human papillomavirus infection,2/14,319/7431,0.11908819604742978,0.20585245316770004,0.12535599583939977,2,kg,PCR,7060/595,THBS4/CCND1
hsa05217,Basal cell carcinoma,1/14,63/7431,0.112460986655184,0.20585245316770004,0.12535599583939977,1,kg,PCR,51176,LEF1
hsa05223,Non-small cell lung cancer,1/14,66/7431,0.11751132527544661,0.20585245316770004,0.12535599583939977,1,kg,PCR,595,CCND1
hsa05230,Central carbon metabolism in cancer,1/14,65/7431,0.11583085173815832,0.20585245316770004,0.12535599583939977,1,kg,PCR,5979,RET
hsa05321,Inflammatory bowel disease (IBD),1/14,65/7431,0.11583085173815832,0.20585245316770004,0.12535599583939977,1,kg,PCR,2625,GATA3
hsa04917,Prolactin signaling pathway,1/14,70/7431,0.12420360559814447,0.2058717298270614,0.12536773456193387,1,kg,PCR,595,CCND1
hsa04920,Adipocytokine signaling pathway,1/14,69/7431,0.12253496793869623,0.2058717298270614,0.12536773456193387,1,kg,PCR,3667,IRS1
hsa05031,Amphetamine addiction,1/14,68/7431,0.12086337854573714,0.2058717298270614,0.12536773456193387,1,kg,PCR,776,CACNA1D
hsa01524,Platinum drug resistance,1/14,73/7431,0.12919185625902552,0.21124614334246064,0.1286405396604806,1,kg,PCR,596,BCL2
hsa05212,Pancreatic cancer,1/14,75/7431,0.13250268605964433,0.21358683431899297,0.13006592781495876,1,kg,PCR,595,CCND1
hsa05220,Chronic myeloid leukemia,1/14,76/7431,0.1341537141177146,0.21358683431899297,0.13006592781495876,1,kg,PCR,595,CCND1
hsa04260,Cardiac muscle contraction,1/14,78/7431,0.13744702039414114,0.21598817490507893,0.13152824918099632,1,kg,PCR,776,CACNA1D
hsa04350,TGF-beta signaling pathway,1/14,84/7431,0.14725728246021397,0.22240430027872451,0.1354354155677313,1,kg,PCR,658,BMPR1B
hsa04512,ECM-receptor interaction,1/14,82/7431,0.14399876666990563,0.22240430027872451,0.1354354155677313,1,kg,PCR,7060,THBS4
hsa04911,Insulin secretion,1/14,85/7431,0.14888221754195607,0.22240430027872451,0.1354354155677313,1,kg,PCR,776,CACNA1D
hsa05410,Hypertrophic cardiomyopathy (HCM),1/14,83/7431,0.14562946707358249,0.22240430027872451,0.1354354155677313,1,kg,PCR,776,CACNA1D
hsa04727,GABAergic synapse,1/14,88/7431,0.1537397879736111,0.226859931034231,0.13814871833315504,1,kg,PCR,776,CACNA1D
hsa05414,Dilated cardiomyopathy (DCM),1/14,90/7431,0.15696385280936365,0.22882682156545783,0.13934647681237103,1,kg,PCR,776,CACNA1D
hsa04658,Th1 and Th2 cell differentiation,1/14,92/7431,0.16017650891891955,0.23029655309276245,0.14024148513695842,1,kg,PCR,2625,GATA3
hsa04912,GnRH signaling pathway,1/14,93/7431,0.1617785703544199,0.23029655309276245,0.14024148513695842,1,kg,PCR,776,CACNA1D
hsa04064,NF-kappa B signaling pathway,1/14,95/7431,0.1649741832318523,0.23211483919830384,0.14134874940305583,1,kg,PCR,596,BCL2
hsa04914,Progesterone-mediated oocyte maturation,1/14,99/7431,0.1713314987457465,0.23828863618661292,0.14510834739506662,1,kg,PCR,3480,IGF1R
hsa04916,Melanogenesis,1/14,101/7431,0.17449327526562652,0.23992825349023647,0.14610680943294088,1,kg,PCR,51176,LEF1
hsa04659,Th17 cell differentiation,1/14,107/7431,0.18391152085467932,0.24725882248240222,0.15057083578745675,1,kg,PCR,2625,GATA3
hsa04931,Insulin resistance,1/14,107/7431,0.18391152085467932,0.24725882248240222,0.15057083578745675,1,kg,PCR,3667,IRS1
hsa04724,Glutamatergic synapse,1/14,114/7431,0.19477333161168342,0.2546817767476783,0.15509112111646353,1,kg,PCR,776,CACNA1D
hsa04726,Serotonergic synapse,1/14,115/7431,0.19631401404402415,0.2546817767476783,0.15509112111646353,1,kg,PCR,776,CACNA1D
hsa04919,Thyroid hormone signaling pathway,1/14,116/7431,0.19785195879571704,0.2546817767476783,0.15509112111646353,1,kg,PCR,595,CCND1
hsa05145,Toxoplasmosis,1/14,113/7431,0.1932299070008625,0.2546817767476783,0.15509112111646353,1,kg,PCR,596,BCL2
hsa04071,Sphingolipid signaling pathway,1/14,118/7431,0.20091965321467897,0.2559081898839595,0.15583795817205018,1,kg,PCR,596,BCL2
hsa04270,Vascular smooth muscle contraction,1/14,121/7431,0.20550077429565639,0.2590166009351503,0.15773085746377136,1,kg,PCR,776,CACNA1D
hsa04110,Cell cycle,1/14,124/7431,0.21005749781807892,0.25935670648966885,0.15793796828426987,1,kg,PCR,595,CCND1
hsa04114,Oocyte meiosis,1/14,124/7431,0.21005749781807892,0.25935670648966885,0.15793796828426987,1,kg,PCR,3480,IGF1R
hsa04210,Apoptosis,1/14,136/7431,0.2280428079732164,0.26704268185165236,0.16261842305015803,1,kg,PCR,596,BCL2
hsa04371,Apelin signaling pathway,1/14,137/7431,0.2295242885336516,0.26704268185165236,0.16261842305015803,1,kg,PCR,595,CCND1
hsa04728,Dopaminergic synapse,1/14,131/7431,0.22059564630160733,0.26704268185165236,0.16261842305015803,1,kg,PCR,776,CACNA1D
hsa04910,Insulin signaling pathway,1/14,137/7431,0.2295242885336516,0.26704268185165236,0.16261842305015803,1,kg,PCR,3667,IRS1
hsa04915,Estrogen signaling pathway,1/14,137/7431,0.2295242885336516,0.26704268185165236,0.16261842305015803,1,kg,PCR,596,BCL2
hsa05162,Measles,1/14,132/7431,0.22209039437719336,0.26704268185165236,0.16261842305015803,1,kg,PCR,595,CCND1
hsa04723,Retrograde endocannabinoid signaling,1/14,148/7431,0.2456472593353265,0.28206394485623937,0.17176577764190304,1,kg,PCR,776,CACNA1D
hsa04932,Non-alcoholic fatty liver disease (NAFLD),1/14,149/7431,0.2470973401219948,0.28206394485623937,0.17176577764190304,1,kg,PCR,3667,IRS1
hsa04145,Phagosome,1/14,152/7431,0.25143206722894584,0.2843297208850696,0.17314554555854608,1,kg,PCR,7060,THBS4
hsa04217,Necroptosis,1/14,162/7431,0.2657143635213336,0.2976984998711238,0.18128660279233288,1,kg,PCR,596,BCL2
hsa04141,Protein processing in endoplasmic reticulum,1/14,165/7431,0.26994945290716665,0.29966865873180887,0.18248635155482054,1,kg,PCR,596,BCL2
hsa04621,NOD-like receptor signaling pathway,1/14,168/7431,0.274161851248768,0.30157803637364483,0.18364908696089724,1,kg,PCR,596,BCL2
hsa05010,Alzheimer's disease,1/14,171/7431,0.2783516708160513,0.3034283979165964,0.18477588389875382,1,kg,PCR,776,CACNA1D
hsa04360,Axon guidance,1/14,175/7431,0.28390316746113664,0.3067168148464065,0.18677839964548465,1,kg,PCR,658,BMPR1B
hsa05152,Tuberculosis,1/14,179/7431,0.2894149862017378,0.3099045427469936,0.18871959975893474,1,kg,PCR,596,BCL2
hsa05167,Kaposi's sarcoma-associated herpesvirus infection,1/14,186/7431,0.29896598094383786,0.3173235411772314,0.19323747614098477,1,kg,PCR,595,CCND1
hsa04024,cAMP signaling pathway,1/14,198/7431,0.31506227611535054,0.3299394613825156,0.2009200721772605,1,kg,PCR,776,CACNA1D
hsa05169,Epstein-Barr virus infection,1/14,201/7431,0.31903237175003574,0.3299394613825156,0.2009200721772605,1,kg,PCR,596,BCL2
hsa05203,Viral carcinogenesis,1/14,201/7431,0.31903237175003574,0.3299394613825156,0.2009200721772605,1,kg,PCR,595,CCND1
hsa04015,Rap1 signaling pathway,1/14,206/7431,0.3256017459467977,0.3338797564369705,0.20331955589898162,1,kg,PCR,3480,IGF1R
hsa05163,Human cytomegalovirus infection,1/14,225/7431,0.3500324338876075,0.3559153319361387,0.21673834915641332,1,kg,PCR,595,CCND1
hsa04014,Ras signaling pathway,1/14,232/7431,0.35882413416615044,0.3618143352842017,0.22033060869851345,1,kg,PCR,3480,IGF1R
hsa04144,Endocytosis,1/14,244/7431,0.37363917509428446,0.37363917509428446,0.2275314680869936,1,kg,PCR,3480,IGF1R
